ID,类型,SKU,名称,已发布,是推荐产品,在列表页可见,简短描述,描述,促销开始日期,促销截止日期,税状态,税类,有货,库存,库存不足,允许缺货下单,单独出售,重量(kg),长度(cm),宽度(cm),高度(cm),允许客户评价,购物备注,促销价格,常规售价,分类,标签,运费类,图片,下载限制,下载的过期天数,父级,分组产品,交叉销售,交叉销售,外部链接,按钮文本,位置,属性1名称,属性1值,属性1可见,属性1全局,属性2名称,属性2值,属性2可见,属性2全局,属性3名称,属性3值,属性3可见,属性3全局,属性4名称,属性4值,属性4可见,属性4全局,属性5名称,属性5值,属性5可见,属性5全局,属性6名称,属性6值,属性6可见,属性6全局
56667,variable,592058906085,Sterling Silver Ring Eye Deco Blue Zirconia Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Non-Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01AVfdn11ouZw878pw9_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN014OstL91ouZw26dya2_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01PVVscN1ouZw8rRmAw_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01xxcVkO1ouZvxknwbM_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/10814409471_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01R2VMGX1ouZw9xXaqD_3967795285-0-cib.jpg",,,,,,,,,0,Color,"Gold, Silver",1,0,Size,"5, 6, 7, 8",1,0,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
56722,variation,592058906085-1,Sterling Silver Ring Eye Deco Blue Zirconia Inlaid - Gold 8,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01AVfdn11ouZw878pw9_3967795285-0-cib.jpg,,,592058906085,,,,,,1,Color,Gold,,0,Size,8,,0,,,,,,,,,,,,,,,,
56723,variation,592058906085-2,Sterling Silver Ring Eye Deco Blue Zirconia Inlaid - Gold 7,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01AVfdn11ouZw878pw9_3967795285-0-cib.jpg,,,592058906085,,,,,,1,Color,Gold,,0,Size,7,,0,,,,,,,,,,,,,,,,
56724,variation,592058906085-3,Sterling Silver Ring Eye Deco Blue Zirconia Inlaid - Gold 6,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01AVfdn11ouZw878pw9_3967795285-0-cib.jpg,,,592058906085,,,,,,1,Color,Gold,,0,Size,6,,0,,,,,,,,,,,,,,,,
56725,variation,592058906085-4,Sterling Silver Ring Eye Deco Blue Zirconia Inlaid - Gold 5,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01AVfdn11ouZw878pw9_3967795285-0-cib.jpg,,,592058906085,,,,,,1,Color,Gold,,0,Size,5,,0,,,,,,,,,,,,,,,,
56726,variation,592058906085-5,Sterling Silver Ring Eye Deco Blue Zirconia Inlaid - Silver 8,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01AVfdn11ouZw878pw9_3967795285-0-cib.jpg,,,592058906085,,,,,,1,Color,Silver,,0,Size,8,,0,,,,,,,,,,,,,,,,
56727,variation,592058906085-6,Sterling Silver Ring Eye Deco Blue Zirconia Inlaid - Silver 7,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01AVfdn11ouZw878pw9_3967795285-0-cib.jpg,,,592058906085,,,,,,1,Color,Silver,,0,Size,7,,0,,,,,,,,,,,,,,,,
56728,variation,592058906085-7,Sterling Silver Ring Eye Deco Blue Zirconia Inlaid - Silver 6,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01AVfdn11ouZw878pw9_3967795285-0-cib.jpg,,,592058906085,,,,,,1,Color,Silver,,0,Size,6,,0,,,,,,,,,,,,,,,,
56729,variation,592058906085-8,Sterling Silver Ring Eye Deco Blue Zirconia Inlaid - Silver 5,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01AVfdn11ouZw878pw9_3967795285-0-cib.jpg,,,592058906085,,,,,,1,Color,Silver,,0,Size,5,,0,,,,,,,,,,,,,,,,
41624,variable,593428568135,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Non-Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01lC3F9S1ouZw26HQ2k_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01LVskX71ouZw48lbV1_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/O1CN01iQCFrz1ouZw26GD9Y_3967795285-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/11007599782_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/10948812900_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/10979113216_480399264.jpg",,,,,,,,,0,Color,"Gold, Silver, Rose Gold",1,0,Size,"5, 6, 7, 8",1,0,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
41650,variation,593428568135-1,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Rose Gold 5,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Rose Gold,,0,Size,5,,0,,,,,,,,,,,,,,,,
41659,variation,593428568135-10,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Silver 6,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Silver,,0,Size,6,,0,,,,,,,,,,,,,,,,
41660,variation,593428568135-11,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Silver 7,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Silver,,0,Size,7,,0,,,,,,,,,,,,,,,,
41661,variation,593428568135-12,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Silver 5,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Silver,,0,Size,5,,0,,,,,,,,,,,,,,,,
41651,variation,593428568135-2,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Gold 7,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Gold,,0,Size,7,,0,,,,,,,,,,,,,,,,
41652,variation,593428568135-3,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Rose Gold 7,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Rose Gold,,0,Size,7,,0,,,,,,,,,,,,,,,,
41653,variation,593428568135-4,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Gold 8,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Gold,,0,Size,8,,0,,,,,,,,,,,,,,,,
41654,variation,593428568135-5,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Rose Gold 6,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Rose Gold,,0,Size,6,,0,,,,,,,,,,,,,,,,
41655,variation,593428568135-6,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Gold 5,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Gold,,0,Size,5,,0,,,,,,,,,,,,,,,,
41656,variation,593428568135-7,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Gold 6,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Gold,,0,Size,6,,0,,,,,,,,,,,,,,,,
41657,variation,593428568135-8,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Rose Gold 8,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Rose Gold,,0,Size,8,,0,,,,,,,,,,,,,,,,
41658,variation,593428568135-9,Sterling Silver Ring Gear Deco Rectangular Zirconia Paved - Silver 8,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,27,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01oD6ntO1ouZvswoh8v_3967795285-0-cib.jpg,,,593428568135,,,,,,1,Color,Silver,,0,Size,8,,0,,,,,,,,,,,,,,,,
56850,variable,593433116342,Sterling Silver Ring Prayer Deco,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Non-Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/11007656140_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11007659151_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/10979110789_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11007638455_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/10948845299_480399264.jpg",,,,,,,,,0,Color,Silver,1,0,Size,"9, 11",1,0,Material,Silver,1,0,Technology,Electroplate,1,0,,,,,,,,
56888,variation,593433116342-1,Sterling Silver Ring Prayer Deco - Silver 11,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,23,,,,https://zecodo.com/wp-content/uploads/2022/12/11007656140_480399264.jpg,,,593433116342,,,,,,1,Color,Silver,,0,Size,11,,0,,,,,,,,,,,,,,,,
56889,variation,593433116342-2,Sterling Silver Ring Prayer Deco - Silver 9,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,23,,,,https://zecodo.com/wp-content/uploads/2022/12/11007656140_480399264.jpg,,,593433116342,,,,,,1,Color,Silver,,0,Size,9,,0,,,,,,,,,,,,,,,,
56748,variable,593578509480,Sterling Silver Ring Round Bases Multi-color Zirconia Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Non-Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/20140371445_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/20212756023_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/20293760771_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/21064741182_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11021859172_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,Size,"6, 7, 8",1,0,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
56776,variation,593578509480-1,Sterling Silver Ring Round Bases Multi-color Zirconia Inlaid - Gold 7,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,26,,,,https://zecodo.com/wp-content/uploads/2022/12/20140371445_480399264.jpg,,,593578509480,,,,,,1,Color,Gold,,0,Size,7,,0,,,,,,,,,,,,,,,,
56777,variation,593578509480-2,Sterling Silver Ring Round Bases Multi-color Zirconia Inlaid - Gold 6,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,26,,,,https://zecodo.com/wp-content/uploads/2022/12/20140371445_480399264.jpg,,,593578509480,,,,,,1,Color,Gold,,0,Size,6,,0,,,,,,,,,,,,,,,,
56778,variation,593578509480-3,Sterling Silver Ring Round Bases Multi-color Zirconia Inlaid - Gold 8,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,26,,,,https://zecodo.com/wp-content/uploads/2022/12/20140371445_480399264.jpg,,,593578509480,,,,,,1,Color,Gold,,0,Size,8,,0,,,,,,,,,,,,,,,,
56603,variable,593649757084,Sterling Silver Gap Ring Curvy Arc Deco,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Gap,,,"https://zecodo.com/wp-content/uploads/2022/12/20988180375_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/21065089249_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/21065056782_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/21148532524_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/10979092390_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/10948815714_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/10979110027_480399264.jpg",,,,,,,,,0,Color,"Gold, Silver, Rose Gold",1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
56677,variation,593649757084-1,Sterling Silver Gap Ring Curvy Arc Deco - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31,,,,https://zecodo.com/wp-content/uploads/2022/12/20988180375_480399264.jpg,,,593649757084,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
56678,variation,593649757084-2,Sterling Silver Gap Ring Curvy Arc Deco - Silver,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31,,,,https://zecodo.com/wp-content/uploads/2022/12/20988180375_480399264.jpg,,,593649757084,,,,,,1,Color,Silver,,0,,,,,,,,,,,,,,,,,,,,
56679,variation,593649757084-3,Sterling Silver Gap Ring Curvy Arc Deco - Rose Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31,,,,https://zecodo.com/wp-content/uploads/2022/12/20988180375_480399264.jpg,,,593649757084,,,,,,1,Color,Rose Gold,,0,,,,,,,,,,,,,,,,,,,,
56849,variable,600836792090,[4 Piece Set] Sterling Silver Ring Retro Deco Multi-size Zirconia Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Non-Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/11856209466_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11823913416_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11823898891_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11823919085_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11787744666_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,Size,6,1,0,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
56882,variation,600836792090-1,[4 Piece Set] Sterling Silver Ring Retro Deco Multi-size Zirconia Inlaid - Gold 6,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,125,,,,https://zecodo.com/wp-content/uploads/2022/12/11856209466_480399264.jpg,,,600836792090,,,,,,1,Color,Gold,,0,Size,6,,0,,,,,,,,,,,,,,,,
56848,variable,601708724673,[3 Piece Set] Sterling Silver Ring Retro Deco Multi-size Zirconia Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Non-Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/11903325089_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11973149289_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11940064275_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11903307293_480399264.jpg, https://zecodo.com/wp-content/uploads/2022/12/11903313252_480399264.jpg",,,,,,,,,0,Color,Gold,1,0,Size,7,1,0,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
56875,variation,601708724673-1,[3 Piece Set] Sterling Silver Ring Retro Deco Multi-size Zirconia Inlaid - Gold 7,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,105,,,,https://zecodo.com/wp-content/uploads/2022/12/11903325089_480399264.jpg,,,601708724673,,,,,,1,Color,Gold,,0,Size,7,,0,,,,,,,,,,,,,,,,
42656,variable,611038236173,Sterling Silver Ring Square Base Black Onyx Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/O1CN01uFo89r1CxpNj1eOYq_2846120148-0-cib.jpg, https://zecodo.com/wp-content/uploads/2022/12/13335065029_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/13357545745_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/13335062084_1210089348.jpg, https://zecodo.com/wp-content/uploads/2022/12/13290670642_1210089348.jpg",,,,,,,,,0,Color,Gold,1,0,,,,,Material,Silver,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
42747,variation,611038236173-1,Sterling Silver Ring Square Base Black Onyx Inlaid - Gold,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,76,,,,https://zecodo.com/wp-content/uploads/2022/12/O1CN01uFo89r1CxpNj1eOYq_2846120148-0-cib.jpg,,,611038236173,,,,,,1,Color,Gold,,0,,,,,,,,,,,,,,,,,,,,
41288,variable,611226425291,Copper Alloy Ring Love Style Gem Inlaid,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Ring > Non-Adjustable,,,"https://zecodo.com/wp-content/uploads/2022/12/22122581759_1011974846.jpg, https://zecodo.com/wp-content/uploads/2022/12/20835991457_1011974846.jpg, https://zecodo.com/wp-content/uploads/2022/12/20836021046_1011974846.jpg, https://zecodo.com/wp-content/uploads/2022/12/20760159027_1011974846.jpg, https://zecodo.com/wp-content/uploads/2022/12/20917940420_1011974846.jpg, https://zecodo.com/wp-content/uploads/2022/12/20835970886_1011974846.jpg",,,,,,,,,0,Color,"Gold, Silver",1,0,Size,"6, 7, 8, 10",1,0,Material,Copper,1,0,Technology,"Electroplate, Gem Inlaid",1,0,,,,,,,,
41355,variation,611226425291-1,Copper Alloy Ring Love Style Gem Inlaid - Silver 6,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,11,,,,https://zecodo.com/wp-content/uploads/2022/12/22122581759_1011974846.jpg,,,611226425291,,,,,,1,Color,Silver,,0,Size,6,,0,,,,,,,,,,,,,,,,
41356,variation,611226425291-2,Copper Alloy Ring Love Style Gem Inlaid - Silver 7,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,11,,,,https://zecodo.com/wp-content/uploads/2022/12/22122581759_1011974846.jpg,,,611226425291,,,,,,1,Color,Silver,,0,Size,7,,0,,,,,,,,,,,,,,,,
41357,variation,611226425291-3,Copper Alloy Ring Love Style Gem Inlaid - Silver 8,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,11,,,,https://zecodo.com/wp-content/uploads/2022/12/22122581759_1011974846.jpg,,,611226425291,,,,,,1,Color,Silver,,0,Size,8,,0,,,,,,,,,,,,,,,,
41358,variation,611226425291-4,Copper Alloy Ring Love Style Gem Inlaid - Gold 6,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,11,,,,https://zecodo.com/wp-content/uploads/2022/12/22122581759_1011974846.jpg,,,611226425291,,,,,,1,Color,Gold,,0,Size,6,,0,,,,,,,,,,,,,,,,
41359,variation,611226425291-5,Copper Alloy Ring Love Style Gem Inlaid - Silver 10,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,11,,,,https://zecodo.com/wp-content/uploads/2022/12/22122581759_1011974846.jpg,,,611226425291,,,,,,1,Color,Silver,,0,Size,10,,0,,,,,,,,,,,,,,,,
41360,variation,611226425291-6,Copper Alloy Ring Love Style Gem Inlaid - Gold 8,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,11,,,,https://zecodo.com/wp-content/uploads/2022/12/22122581759_1011974846.jpg,,,611226425291,,,,,,1,Color,Gold,,0,Size,8,,0,,,,,,,,,,,,,,,,
41361,variation,611226425291-7,Copper Alloy Ring Love Style Gem Inlaid - Gold 10,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,11,,,,https://zecodo.com/wp-content/uploads/2022/12/22122581759_1011974846.jpg,,,611226425291,,,,,,1,Color,Gold,,0,Size,10,,0,,,,,,,,,,,,,,,,
41362,variation,611226425291-8,Copper Alloy Ring Love Style Gem Inlaid - Gold 7,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,11,,,,https://zecodo.com/wp-content/uploads/2022/12/22122581759_1011974846.jpg,,,611226425291,,,,,,1,Color,Gold,,0,Size,7,,0,,,,,,,,,,,,,,,,
